n,bytes,correctedBytes
50000,3800456,2118705.421
100000,7600456,4508601.486
150000,11400456,7000939.809
200000,15200456,9559805.9
250000,19000456,12168142.13
300000,22800456,14815901.59
350000,26600456,17496445.56
400000,30400456,20205055.59
450000,34200456,22938203.67
500000,38000456,25693151.37
550000,41800456,28467711.04
600000,45600456,31260094.59
650000,49400456,34068813.1
700000,53200456,36892607.47
750000,57000456,39730398.95
800000,60800456,42581252.96
850000,64600456,45444352
900000,68400456,48318974.93
950000,72200456,51204480.85
1000000,76000456,54100296.43
